Training Provider Name,Address,Telephone No.,Email,Website Link,Industry
MALAYSIAN ENVIRONMENT CLEANING SCIENCE SDN. BHD.,,60341083066,susan@mecsc.com.my,,
ZUBEDY (M) SDN. BHD.,,60126011899,fatin@zubedy.com,http://www.zubedy.com,Soft Skills & Unity
VISTAGE MALAYSIA SDN. BHD.,,+60322842179,hrdcsupport@vistage.com.my,http://www.vistage.com.my,Executive Coaching
CPA AUSTRALIA (M) SDN BHD,,60327792783,cpd.malaysia@cpaaustralia.com.au,,
QUEST LEARNING SDN. BHD.,,60389336219,customercare@qscasia.com,http://www.qscasia.com,Corporate Training
EARTHWIN ALS TRAINING ACADEMY SDN. BHD.,,60122208066,nicholas@earthwin.com.my,,
PRO-COM COMPUTER SDN BHD,,60379819791,admin@procomcomputer.com.my,,
AON MALAYSIA SDN. BHD.,,60327737042,nichole.choi@aon.com,,
FINET ASSOCIATES SDN BHD,,60173312339,90018.finet@gmail.com,,
CROWE CPE SDN BHD,,27889999,carol.victor@crowe.my,,
ALC TRAINING SDN BHD,,60320359258,morliza@alc-group.com,http://www.alc-group.com,Corporate Training
TOTAL POWER SOLUTION SDN. BHD.,,60322019536,vidyashini@tops-sb.com,,
BEST MULTI LEVEL TRAINING SDN BHD,,60162089093,alansoh_kh@yahoo.com,,
ITRAIN (M) SDN BHD,,60327330337,alice@itrain.com.my,,
NAVIGO ASIA SDN. BHD.,,60149656545,ronald@navigoasia.com,http://www.navigoasia.com,Corporate Training
NINETY FIVE PERCENT SDN. BHD.,,601164380873,kamilah@95percent.com.my,http://www.95percent.com.my,Corporate Culture
PENTAWISE SDN. BHD.,,60322822630,inquiry@pentawise.com,http://www.pentawise.com,Corporate Training
ARBINGER (MALAYSIA) SDN.BHD.,,60143649441,malar@arbingersea.com,http://www.arbingersea.com,Leadership Training
EXPITRIS WORLDWIDE SDN BHD,,60341617705,info@expitris.com,,
TMI CONSULTANCY SDN. BHD.,,60109123680,athena.lim@tacktmiglobal.com,http://www.tacktmiglobal.com,Sales & Leadership
ALLIED VIEW CENTRE SDN. BHD.,,60377837745,juliana@alliedview.com.my,,
TRAINING ZONE DOT COM SDN. BHD.,,60362709883,douglas@trainingzone.com.my,,
EXCEED EXCELLENCE SDN. BHD.,,60122136776,anita@exceed-excellence.com,,
K-PINTAR SDN. BHD.,,60322844148,enquiry@kpintar.com,,
TT TRAINING & CONSULTING SDN BHD,,+60391345391,sales@ttmedical.com.my,,
CITRINE ONE (MALAYSIA) SDN. BHD.,,60123409868,norainatohirin@citrine.com.my,,
INTER-EXCEL ADVISORY SDN BHD,,+60187666100,contact@excelmalaysia.com,,
ERNST & YOUNG CONSULTING SDN. BHD.,,60374958103,myhrdc@my.ey.com,,
BEACON CONSULTING MALAYSIA SDN BHD,,6597860941,contact@beacon.my,http://www.beacon.my,Business Consultancy
ZANERVA SDN BHD,,60321696364,finance@zanerva.com,http://www.zanerva.com,Corporate Events/Training
CIMY INTERNATIONAL STANDARDS TRAINING (M) SDN BHD,,60327792530,cimy@cimalaysia.com.my,,
BSI SERVICES MALAYSIA SDN. BHD.,"SUITE 29.01, LEVEL 29,THE GARDENS NORTH TOWER,MID VALLEY CITY,LINGKARAN SYED PUTRA,KUALA LUMPUR,Kuala Lumpur,Malaysia-59200",+60392129638,FaridahtulHazimah.Fazoli@bsigroup.com,,
MAXVEC SDN BHD,,60341420881,adminmgr@maxvec.com,,
MINDTRAC CONSULTING SDN BHD,,60192162812,finance@mind-trac.com,No Corporate Domain Detected,Management Consultancy
I WORLD TECHNOLOGY SDN. BHD.,,60327100038,sales@i-world-technology.com,,
MATRIX PARADIGM SDN. BHD.,,60164647448,woon@matrixp.net,,
IJN COLLEGE SDN BHD,,60147320295,shuhadarosnan@ijn.edu.my,,
LAURELSOFT ISOLUTIONS SDN. BHD.,,60389966941,rmuthuvel@laurelsoft.com.my,,
I-HR CONSULTING SDN. BHD.,,60322873500,stephanie@ihrnet.com,http://www.ihrnet.com,HR Consultancy
BFM MEDIA SDN BHD,,+60178128613,events@bfm.my,,
AGENSI KAUNSELING DAN PENGURUSAN KREDIT,,60193785247,hfed@akpk.org.my,,
KASSIM-AYDIN MCPHERSON CONSULTS SDN.BHD.,,600122019858,harithkassim@yahoo.com,No Corporate Domain Detected (Yahoo),Consultancy
MATRIX CONNEXION SDN BHD,"UNIT 50-7-7, 7TH FLOOR,,WISMA UOA DAMANSARA,,UNIT 50, JALAN DUNGUN,,DAMANSARA HEIGHTS,,KUALA LUMPUR,Kuala Lumpur,Malaysia-50490",60322841443,sean@matrixc.com,,
ENVIROVERKS (M) SDN BHD,,6033358666,finance@enviroverks.com.my,,
NEOONE ASSOCIATES SDN. BHD.,,60192713292,tzeyasmin@gmail.com,No Corporate Domain Detected (Gmail),Consultancy
TALENPAC PLT,,60123072432,navin@talenpac.com,http://www.talenpac.com,Talent Management
CHANGERNOMICS SDN BHD,,60320929595,samkurian@changernomics.com,http://www.changernomics.com,Change Management
PRESTIGE ATLANTIC ASIA SDN BHD,,60390573428,mfchew@prestigeatlantic.com.my,,
PRIMUS TECHNOLOGY (M) SDN. BHD.,,60326916363,primuscollege@gmail.com,,
TRUEVENTUS SDN BHD,"SUITE 2B-23A-2,LEVEL 23A, BLOCK 2B,,PLAZA SENTRAL, JALAN SENTRAL 5,,KL SENTRAL,KL SENTRAL,Kuala Lumpur,Malaysia-50470",60327750000,nora@trueventus.com,,
ZENITH BIZNESS EXCELLENCE SDN BHD,,+60378905454,finance@zenithbizness.com,,
WHEALER SOLUTIONS SDN BHD,,60122313207,jeechew@whealer.com,http://www.whealer.com,Business Solutions
EUROGAIN HARVEST SDN. BHD.,,60122898666,hr@eurogain.com.my,,
QUANTUM ACHIEVERS INTERNATIONAL SDN BHD,,60122013373,wayfarer68@gmail.com,,
AKADEMI SHAPADU SDN. BHD.,,60326922941,izuwana@shapadu.com.my,,
KNOWLEDGE HUB ASIA SDN BHD,,60122662728,esther.yong@knowledgehub-asia.com,http://www.knowledgehub-asia.com,Corporate Training
ATD SOLUTION (M) SDN BHD,,60322881680,nani@atdsolution.com,,
JASMIZA SOLUTIONS SDN BHD,,60122342234,jasmiza@jasmizasolutions.com.my,http://www.jasmizasolutions.com.my,Consultancy
TPT RESOURCES SDN. BHD.,,+60193312020,admin@tptr.com.my,,
LEADERSHIP ASIA CONSULTING SDN BHD,,60377812711,amar@lac.com.my,http://www.lac.com.my,Leadership Consultancy
PERFECT PROTECTION SDN BHD,,+60122030408,mvchong@perfectprotection.com.my,,
PSS PROFESSIONAL SALES ACADEMY SDN. BHD.,,60122002128,jpsim8@yahoo.com,,
PETROEDGE SDN BHD,,6598522590,info@asiaedge.net,,
MIMOS BERHAD,,60389955000,TalentDevelopment@mimos.my,,
THE MALAYSIAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS,,60326989622,cpd@micpa.com.my,,
SLEDGEHAMMER COMMUNICATIONS (M) SDN.BHD.,,60377262588,ruby@adoimagazine.com,,
APIIT SDN. BHD.,,+60389961000,training@apiit.edu.my,,
COSMOPOINT SDN. BHD.,,+60 11-1237 1096,malathi@unitar.my,,
SDCKL SDN. BHD.,,60327791500,milan@sdckl.edu.my,,
OLYGEN SDN BHD,,601163323668,alvinyong@olygen.com,,
LEMBAGA PERINDUSTRIAN KAYU MALAYSIA,,60331491743,atiqah@mtib.gov.my,,
PUSAT PENDIDIKAN BERTERUSAN U. MALAYA,,60322463604,umcced@um.edu.my,,
THE LONDON SPEAKER BUREAU SDN. BHD.,,60323010988,ACCOUNTS@LONDONSPEAKERBUREAU.MY,,
PEOPLELOGY GROWTH SDN BHD,,60322871829,sbl-khas.inquiry@peoplelogy.com,,
KISMET HRTC SDN. BHD.,,60362119222,noordiana@kismetgroup.com.my,,
RO CONSULTING GROUP SDN. BHD.,,60123268264,roland@rolandong.com,http://www.rolandong.com,Consultancy
MANGO TRAINING AND CONSULTANCY SDN. BHD.,,60364191828,maisarah@mangotraining.com,http://www.mangotraining.com,Corporate Training
&SAMHOUD SDN. BHD.,,60192330563,n.hamurcu@samhoud.com,http://www.samhoud.com,Change Consultancy
CONFEXHUB SDN BHD,,60327711668,sookmei@confexhub.com,,
BEYOND CULINARY SDN BHD,,60123776867,roseyong28@gmail.com,,
CALIBRE SKILLS DEVELOPMENT SDN BHD,,+60108182794,support@calibreskills.com.my,,
DNV MALAYSIA SDN. BHD.,,60321601088,Sukdeep.Kaur.Gurdev.Singh@dnv.com,,
HELP UNIVERSITY SDN. BHD.,,60327162097,mogana.s@help.edu.my,,
INFINITY LEARNING AVENUE,,60163808038,racinelim@yahoo.com,,
VADS BUSINESS PROCESS SDN. BHD.,,77128888,hafizi.borhan@tm.com.my,,
MCSB SYSTEMS (M) BERHAD,,60320287484,sharon.ooi@mcsb.com,,
ENTERPRISE BUSINESS SOLUTIONS SDN. BHD.,,+60362013848,sheila.virumandi@insynchro.net,,
UNIVERSITI TEKNIKAL MARA SDN. BHD.,,60321754482,mluqman@unikl.edu.my,,
IIUM CONSULTANCY AND INNOVATION SDN. BHD.,,60364215434,iiumconsultants@gmail.com,,
ASIA E LEARNING SDN BHD,,60327850056,juita.sulaiman@aeu.edu.my,,
ACCA MALAYSIA SDN BHD,"SUITE 15.1, LEVEL 15,CENTREPOINT NORTH TOWER,MID VALLEY CITY,LINGKARAN SYED PUTRA,KUALA LUMPUR,Kuala Lumpur,Malaysia-59200",60322890127,mycpd@accaglobal.com,,
WEB CITY SDN BHD,,60392833799,noelkolejypc@gmail.com,,
GADING INSTITUTE SDN. BHD.,,60134157919,gadinginstitute@gmail.com,,
SEGI COLLEGE (KL) SDN BHD,,60320702078,leongkuokhow@segi.edu.my,,
AKADEMI BINAAN MALAYSIA (SELANGOR) SDN BHD,,60392002008,faizharon@cidbabm.com.my,,
TRAVEX INSTITUTE OF TOURISM SDN BHD,,60320702673,inquiry@travexcollege.com,,
ALFA INTERNATIONAL COLLEGE SDN BHD,,60356319208,fairuz@alfa.edu.my,,
ASIAN INSTITUTE OF INSURANCE,,60327128882,hrdcorp@aiiasia.org,,
PERTUBUHAN IKATAN KOMUNITI SELAMAT,,60321100236,tnc.ikatan@gmail.com,,
ARCNET TRAINING AND DEVELOPMENT SDN. BHD.,,+60142202902,admin01@arcnettraining.com,,
YYC TAX CONSULTANTS SDN BHD,,60390782868,e-invoicingteam@yycadvisors.com,,
DSH INSTITUTE OF TECHNOLOGY SDN. BHD.,,60129291220,yuliana@dit.edu.my,,
ADEV VENTURES SDN. BHD.,,60132086728,ops@vimigoapp.com,,
PROCESSWORKS SDN. BHD.,,60392367293,info@processworksgroup.com,http://www.processworksgroup.com,Process Improvement
BREYER TRAINING AND EDUCATION CONSULTANTS SDN. BHD.,,60123100340,kalarani@cqbreyer.edu.my,,
JMC COACH MASTERY SDN. BHD,,+60123131280,wkleong@jmcconsult.com,http://www.jmcconsult.com,Coaching & Mentoring
BERJAYA HIGHER EDUCATION SDN BHD,,60193698676,farah.suhaily@berjaya.edu.my,,
MLOK HOLDINGS SDN BHD,,60321629088,info@mlokconsultant.com,http://www.mlokconsultant.com,Corporate Services
IR LAW SDN BHD,,60341083221,amirah@irlaw.com.my,,
PUSAT TEKSTIL & PAKAIAN MALAYSIA (MATAC),,60321621587,hasnah@matac.com.my,,
MALAYSIAN - GERMAN CHAMBER OF COMMERCE AND INDUSTRY,"LOT 20 - 01, LEVEL 20,,MENARA HAP SENG 2 ,,PLAZA HAP SENG,,NO 1, JALAN P. RAMLEE,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50250",60392351800,info@malaysia.ahk.de,,
BDO TAX SERVICES SDN. BHD.,,60326162888,bdolapd@bdo.my,,
MAGCOLM SOLUTIONS SDN. BHD.,,60327897901,alicia@magcolm.my,,
SHYANA HR CONSULTING & TRAINING SDN BHD,,60362000670,dev@shyanahr.com.my,http://www.shyanahr.com.my,HR Consultancy
CENTRE FOR ENTREPRENEUR DEVELOPMENT AND RESEARCH SDN. BHD.,,60177752008,siti.fatimah@cedar.my,,
THINK PLUS ACADEMY SDN. BHD.,,60129131254,thinkplusacademy@gmail.com,,
EXCEL GREAT MANAGEMENT PLT,,60123270919,skchiew36@yahoo.com,No Corporate Domain Detected (Yahoo),Management Consultancy
CENTIA PLT,,60362114242,team@centia.my,http://www.centia.my,Business Consultancy
ISO EXPERTS PLT,,+60133521324,tejwinder@isoexperts.com.my,,
TACH SOLUTION PLT,,60123036290,yktang@tachsolution.com,,
PROJECT MANAGEMENT ACADEMY SDN BHD,,60379609598,coordinator@pma-intl.com,,
SUTERA ANALYTICS SDN BHD,,60364132633,contact_us@sutera-analytics.com,,
ISKILL CONSULTANCY PLT,,60162057773,iskillconsultancy@gmail.com,No Corporate Domain Detected (Gmail),Skills Training
ORBITAGE SDN. BHD.,,60322021852,vanitha@orbitage.com,,
UEBERLEAP ACADEMY SDN. BHD.,,+60193062632,armiza.razak@uleap.com.my,,
INPSYFUL LEARNING & SOLUTIONS SDN. BHD.,,60162121136,finance@inpsyful.com,http://www.inpsyful.com,Psychology-Based Training
SYNERGY KNOWLEDGE (M) SDN. BHD.,,60322017004,selvam@synergyknowledge.com.my,http://www.synergyknowledge.com,Knowledge Management
HD TRAINING HOUSE SDN BHD,,60379825773,infopg@hdhouse.org,,
DR ASPA CENTRE GROUP SDN. BHD.,,60127709587,draspacentre@gmail.com,,
BDEC RESOURCES MALAYSIA SDN. BHD.,,60192248263,faridahtahir@bdecres.com,,
MINDMAGINE ASIA SDN. BHD.,"MZ 9, PENTHOUSE 16-1, LEVEL 16,WISMA UOA DAMANSARA II,NO 6, CHANGKAT SEMANTAN,DAMANSARA HEIGHTS,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50490",60149114149,azizah.chedon@mindmagine.com,http://www.mindmagine.com,Design Thinking/Innovation
PRO B CENTRE SDN BHD,,60379848988,hr@chengco.com.my,,
CLENNIE TECH SDN. BHD.,,60162178562,clennietech@gmail.com,,
CENTRILINC SDN. BHD.,,60122339380,training@centrilinc.com,,
NIKAO CONSULTING SDN BHD,,60162265220,juliuswee@nikao-consulting.com,http://www.nikao-consulting.com,Consultancy
KLCC EDUCATION GROUP SDN. BHD.,,60123361813,klcc.edu.group@gmail.com,,
GRC CONSULTING SERVICES SDN BHD,,60322422813,fariza@grccs.com.my,http://www.grccs.com.my,Governance/Risk/Compliance
EQTD CONSULTING SDN BHD,,60103777441,coaching@eqtd.com,http://www.eqtd.com,Emotional Intelligence
CHARLTON MARTIN CONSULTANTS SDN BHD,,60322875175,maisarah.ghazni@charltonmartin.com,http://www.charltonmartin.com,Construction Consultancy
MALAYSIAN ASSOCIATION OF PROFESSIONAL SECRETARIES AND ADMINISTRATORS,"RUMAH MAPSA,15 LORONG TEMPINIS KIRI SATU,LUCKY GARDEN,BANGSAR,Kuala lumpur,Kuala Lumpur,Malaysia-59100",60193365115,bettyphualnt@gmail.com,,
EVENTSMASTERY ASIA PACIFIC SDN BHD,,60122103691,shumfp@eventsmastery.com,,
PKF AVANT EDGE SDN BHD,,60362031888,stevie@pkfmalaysia.com,,
U PERFORMA RESOURCES PLT,,60392843066,song@u-performa.com,http://www.u-performa.com,Performance Consultancy
SELERA ARIF SDN. BHD.,,60162224880,seleraarif@gmail.com,,
AVIDITY INTERNATIONAL SDN BHD,,+60147562663,aini@avidityinternational.com,http://www.avidityinternational.com,International Consultancy
ONE STOP TRAINING & CONSULTANCY PLT,,60173075555,onestoptraining_consultancy@yahoo.com,No Corporate Domain Detected (Yahoo),General Training
ADVISION TRAINING PLT,,60362808654,training@advision.com.my,,
RESTAURANT AND CATERING ACADEMY SDN BHD,,60123771790,roycheng.reca@gmail.com,,
EFR CERTIFICATION SDN BHD,,60327319331,sales@efrcertification.com,,
ASIAN MANAGEMENT DEVELOPMENT ACADEMY PLT,,60162093156,vizayer@gmail.com,No Corporate Domain Detected (Gmail),Management Development
CAD FOCUS SDN. BHD.,,60392216918,tegoh@cadfocus.com.my,,
NOESIS EXED,,60327254291,info@noesis.edu.sg,,
WESLEYAN EDUCATION SERVICES SDN. BHD.,,+60193691391,pang.kj@mckl.edu.my,,
SHEMSI SDN BHD,"476, LEVEL 3A,SUNWAY VISIO TOWER,LINGKARAN SV,SUNWAY VELOCITY,KUALA LUMPUR,Kuala Lumpur,Malaysia-55100",60122958613,mail@shemsi.com,,
LEARNING VISTA SDN. BHD.,,60123674083,cheahjin.lim@outlook.com,No Corporate Domain Detected (Outlook),Corporate Training
EMERGING JOURNEY ASIA SDN BHD,,60379713111,info@ejasia.net,http://www.ejasia.net,Experiential Learning
WILD GEESE GROUP SDN. BHD.,,60333822215,admin@mersc2-0.com,,
MU DOT MY PLT,,60172008017,hello@mu.my,,
TARC EDUCATION FOUNDATION (TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY),,60341450123,leewm@tarc.edu.my,,
EWOLUTION TRAINING & HUMAN RESOURCES,,60166683093,ewolutiontraining@yahoo.com,No Corporate Domain Detected (Yahoo),HR Training
EESSENCE TRAINING CONSULTANTS SDN BHD,,60374946101,coaching@eessence.biz,http://www.eessence.biz,Training Consultancy
LAWRENCE WALTER SEMINARS STRATEGIC GROUP PLT,,60321444091,lwsadmin@lwseminars.com,,
LAB CONSULT PLT,,60126557355,kwan_ng@hotmail.com,,
CADVISION SYSTEMS SDN BHD,,601154075097,wilson.ngan@cad-vision.com.my,,
CALIBRE BUSINESS SOLUTIONS SDN BHD,,60163113073,ckhah@calibre.my,,
THE CENTER OF APPLIED DATA SCIENCE SDN. BHD.,,+60379312963,admin@cads.ai,,
UNIVERSAL MINDS SDN BHD,,60321499393,admin@universalminds.my,,
FINALSPOT SDN.BHD.,,60123403934,zainab_abakar@yahoo.com,,
RHYTHM EMPOWERMENT SOLUTIONS SDN BHD,,60196134508,rahman@rhythm-empowerment.com,,
SAMYUJ SDN. BHD.,,60329382797,samyujmalaysia@gmail.com,,
HUMAN EQUATION SDN BHD,,+60122035362,sheila@human-equation.com,http://www.human-equation.com,HR Solutions
FEDERATION OF MALAYSIAN MANUFACTURING,,60362867200,etris@fmm.org.my,,
TECHTUAL CONSULTING PLT,,60124779699,techtual.tc@gmail.com,,
THE BOX SOLUTIONS MALAYSIA SDN. BHD.,,60126702030,TRAINING@TRAININGBOXMALAYSIA.COM,,
GLM TRAINING & CONSULTANCY SDN BHD,,60322836949,mary@glm-training.com,http://www.glm-training.com,Training Consultancy
MALAYSIAN INSTITUTE OF ECONOMIC RESEARCH (MIER),,60321420091,sarimah@mier.org.my,,
JAY TEAM COACHING SDN BHD,,60122993523,jayshum@jayteamcoaching.com,http://www.jayteamcoaching.com,Team Coaching
IA ESSENTIAL SDN BHD,,60391319188,kiansoon.chong@iae-world.com,http://www.iae-world.com,Internal Audit
PRIMUS INTER PARES TRAINING AND MANAGEMENT SERVICES PLT,,60178654240,salimashedoff@gmail.com,,
INTERNATIONAL CENTRE FOR EDUCATION IN ISLAMIC FINANCE (INCEIF),,+60139795181,shaidatul@inceif.edu.my,,
CONNECTED PERFORMANCE SDN BHD,,+60125911366,sasikala.annamalai@kpiinstitute.com,http://www.kpiinstitute.com,Performance Management
ELIAS TRAINING & CONSULTANCY SDN. BHD.,"L12-12, MENARA SENTRAL VISTA,,NO. 150, JALAN SULTAN ABDUL SAMAD,,BRICKFIELDS, 50470,,KUALA LUMPUR,Kuala Lumpur,Kuala Lumpur,Malaysia-50470",60328567297,phoebe.plc@gmail.com,,
DRI MALAYSIA SDN BHD,,60146210982,kai@dri-malaysia.org,,
OMNI VIEW CONSULTING (M) SDN. BHD.,,60362011198,angeline@omniview.net,http://www.omniview.net,HR Assessment
ASCELLA CONSULTING SDN. BHD.,,60390549779,alvinwee@ascella.biz,http://www.ascella.biz,Business Consultancy
CHARTERED TAX INSTITUTE OF MALAYSIA,,60392127848,cpd@ctim.org.my,,
OSR CONSULTING SDN. BHD.,,60327105255,christina.osrhrgroup@outlook.com,No Corporate Domain Detected (Outlook),HR Consultancy
MMT UNIVERSAL ACADEMY SDN. BHD.,"SUITE 33-01, 33RD FLOOR, MENARA KEK SENG,,203, JALAN BUKIT BINTANG, 55100,,W.P. KUALA LUMPUR,,MALAYSIA,WILAYAH PERSEKETUAN,Kuala Lumpur,Malaysia-55100",60321499257,info@mmt.my,,
SP TRAINING PLT,,60362507350,sptrainingplt@gmail.com,,
TOP FORESIGHT SDN BHD,"Block A1-13A-01,Arcoris,No10 Jalan Kiara,Mont Kiara,Wilayah Persekutuan,Kuala Lumpur,Malaysia-50480",60364113143,harley@topforesight.com,,
AWANSOFT TECHNOLOGY SDN. BHD.,,60123002000,esther@awansoft.biz,,
DYNAMIC VISION RESOURCES SDN BHD,,60122677668,abib405@yahoo.com,,
UNITEM SDN. BHD. (OPEN UNIVERSITY MALAYSIA),,60378011800,enquiries@oum.edu.my,,
OPTIMAL PARTNERSHIP CONSULTANTS SDN BHD,,60362053728,pwyap@optimalconsulting.com.sg,http://www.optimalconsulting.com.sg,Partnership Consultancy
OPTIMAL PARTNERSHIP CONSULTANTS SDN BHD,,60362053728,pwyap@optimalconsulting.com.sg,http://www.optimalconsulting.com.sg,HR Consultancy
DEVCOM TRENDS PLT,,60126833813,sudhev@devcomtrends.com.my,,
AAH CONSULTING SDN BHD,,60102088600,reginald@aarianahospitality.com,http://www.aarianahospitality.com,Hospitality Consultancy
INSTITUT KIMIA MALAYSIA (MALAYSIA INSTITUTE OF CHEMISTRY),,60377283272,azizi@ikm.org.my,,
AF CONDITION MONITORING (M) SDN BHD,,60362734078,admin@afcm.com.my,,
CULTURAL IMPACT SDN. BHD.,,60172835199,marietseng@culturalimpact.org,http://www.culturalimpact.org,Cultural Training
PMOLIVE SDN BHD,,60378876881,info@pmolive.com.my,,
1CMS INTERNATIONAL (M) SDN. BHD.,,60377732771,cssupport@1cms.com.my,,
XHALE ASIA (M) SDN BHD,,60322870079,hr@xhaleasia.com,http://www.xhaleasia.com,Corporate Wellness
EFFECTUAL LINKS SDN BHD,,60126573739,syuen.toh@effectuallinks.com,http://www.effectuallinks.com,Training Links
CEO VAS SDN. BHD.,,60126842199,julie@ceovas.com.my,,
IDEASCAPE CONSULTING GROUP SDN BHD,,60328560570,info@ideascape.com.my,http://www.ideascape.com.my,Strategic Consultancy
BERKAT OSH SERVICES SDN BHD,,60386903029,masziana.yunus@berkat-osh.com,,
ACTUARIAL PARTNERS CONSULTING SDN. BHD.,,60321610433,kelly.liong@actuarialpartners.com,http://www.actuarialpartners.com,Actuarial Consulting
FASIH MANDARIN SDN. BHD.,,60183554630,zulaiha@fasihmandarin.com,,
KAMPACHI RESTAURANTS SDN BHD,,60322757918,kampachi-trainer1@equatorial.com,,
ENVIRONMENTAL RESOURCES MANAGEMENT (M) SDN. BHD.,,60327060017,spiff.choong@erm.com,,
UNITI RUNDING SDN BHD,,60133746067,finance@uniti.edu.my,,
REKINDLE SDN. BHD.,,60193698519,manager@rekindletherapy.com,,
OHANAJO SDN. BHD.,,60172020175,finance.ohanajo@gmail.com,,
AMANIE ACADEMY SDN BHD,,60193106657,yasmin@amanieacademy.com,,
PRICEWATERHOUSECOOPERS TAXATION SERVICES SDN BHD,,60321731188,my_learning_and_development_mis@pwc.com,,
FUTURE DREAM ACADEMY SDN BHD,,60367347799,futuredream031@gmail.com,,
GREATS TRAINING & RESOURCES,,60362733476,ravishangkar.greats@gmail.com,No Corporate Domain Detected (Gmail),General Training
SG AKADEMI (M) SDN BHD,,60340411366,aini@sgacademy.edu.my,,
PERKHIDMATAN ANTARABANGSA SOS SDN. BHD.,,60327873042,amin.zamani@pkasos.com,,
CITY ADVANCE SKILL ACADEMY SDN BHD,,60321446788,balamurali21my@yahoo.com,,
YES ACADEMY SDN BHD,"SUITE C-11-3,LEVEL 11,,BLOCK C,,MEGAN AVENUE II,,JALAN YAP KWAN SENG,KUALA LUMPUR,Kuala Lumpur,Malaysia-50450",60327100180,cms.yesacademy@gmail.com,,
AZIMUTH CENTRE OF EXCELLENCE SDN BHD,,60327048144,ruthclark@azimuth-international.com,http://www.azimuth-international.com,Specialized Training
SEWELLS GROUP MALAYSIA SDN BHD,"PENTHOUSE (LEVEL 27), CENTREPOINT SOUTH,,THE BOULEVARD,,MID VALLEY CITY,,LINGKARAN SYED PUTRA,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-59200",60320969557,jlee1@msxi.com,http://www.msxi.com,Automotive Consultancy
JMC TECHNOLOGIES SDN BHD,,60166382339,weichang.lee@jmcsg.com,,
SMART SOLUTIONS LEARNING SDN BHD,,60125109917,joanne@smartsolutionslearning.com,http://www.smartsolutionslearning.com,Learning Solutions
